"","Year","nn"
"1",1913,7
"2",1914,6
"3",1915,7
"4",1916,7
"5",1917,7
"6",1918,6
"7",1919,6
"8",1920,7
"9",1921,5
"10",1922,4
"11",1923,6
"12",1924,6
"13",1925,5
"14",1926,9
"15",1927,8
"16",1928,7
"17",1929,6
"18",1930,7
"19",1931,7
"20",1932,8
"21",1933,9
"22",1934,9
"23",1935,8
"24",1936,6
"25",1937,6
"26",1938,5
"27",1939,7
"28",1940,5
"29",1941,6
"30",1942,4
"31",1943,5
"32",1944,7
"33",1945,5
"34",1946,6
"35",1947,6
"36",1948,4
"37",1949,9
"38",1950,6
"39",1951,6
"40",1952,6
"41",1953,5
"42",1954,4
"43",1955,4
"44",1956,6
"45",1957,4
"46",1958,2
"47",1959,7
"48",1960,6
"49",1961,7
"50",1962,5
"51",1963,6
"52",1964,7
"53",1965,4
"54",1966,8
"55",1967,9
"56",1968,7
"57",1969,8
"58",1970,8
"59",1971,5
"60",1972,6
"61",1973,7
"62",1974,6
"63",1975,6
"64",1976,7
"65",1977,7
"66",1978,10
"67",1979,7
"68",1980,7
"69",1981,9
"70",1982,9
"71",1983,9
"72",1984,7
"73",1985,8
"74",1986,10
"75",1987,11
"76",1988,8
"77",1989,10
"78",1990,8
"79",1991,9
"80",1992,9
"81",1993,11
"82",1994,10
"83",1995,8
"84",1996,10
"85",1997,10
"86",1998,10
"87",1999,11
"88",2000,10
"89",2001,9
"90",2002,11
"91",2003,10
"92",2004,10
"93",2005,10
"94",2006,9
"95",2007,11
"96",2008,10
"97",2009,10
"98",2010,9
"99",2011,12
"100",2012,10
"101",2013,12
"102",2014,12
"103",2015,11
