"","Year","Richness"
"1",1913,11
"2",1914,9
"3",1915,9
"4",1916,13
"5",1917,11
"6",1918,10
"7",1919,8
"8",1920,9
"9",1921,6
"10",1922,7
"11",1923,9
"12",1924,9
"13",1925,9
"14",1926,13
"15",1927,11
"16",1928,8
"17",1929,9
"18",1930,10
"19",1931,9
"20",1932,12
"21",1933,10
"22",1934,12
"23",1935,10
"24",1936,9
"25",1937,9
"26",1938,8
"27",1939,9
"28",1940,6
"29",1941,9
"30",1942,8
"31",1943,9
"32",1944,11
"33",1945,7
"34",1946,9
"35",1947,8
"36",1948,8
"37",1949,12
"38",1950,7
"39",1951,8
"40",1952,9
"41",1953,7
"42",1954,7
"43",1955,6
"44",1956,9
"45",1957,6
"46",1958,5
"47",1959,9
"48",1960,8
"49",1961,9
"50",1962,8
"51",1963,9
"52",1964,9
"53",1965,8
"54",1966,12
"55",1967,12
"56",1968,12
"57",1969,11
"58",1970,10
"59",1971,9
"60",1972,9
"61",1973,11
"62",1974,8
"63",1975,11
"64",1976,10
"65",1977,10
"66",1978,13
"67",1979,9
"68",1980,11
"69",1981,13
"70",1982,12
"71",1983,13
"72",1984,11
"73",1985,13
"74",1986,13
"75",1987,14
"76",1988,12
"77",1989,14
